Market_Rate,Friction,Rate_Velocity,CPR_US,CPR_Danish,Cohort_Coupon
0.035,0.065,0.005,0.2943,0.5717,0.015
0.04000000000000001,0.065,0.005,0.2262,0.5634,0.015
0.045000000000000005,0.065,0.005,0.1723,0.556,0.015
0.05,0.065,0.005,0.1312,0.5497,0.015
0.05500000000000001,0.065,0.005,0.1012,0.5432,0.015
0.06000000000000001,0.065,0.005,0.0779,0.5373,0.015
0.065,0.065,0.005,0.0612,0.5319,0.015
0.07,0.065,0.005,0.0452,0.5246,0.015
0.07500000000000001,0.065,0.005,0.0344,0.5204,0.015
0.08000000000000002,0.065,0.005,0.0263,0.5141,0.015
0.02,0.065,0.01,0.5457,0.5999,0.015
0.025,0.065,0.01,0.4819,0.5896,0.015
0.030000000000000002,0.065,0.01,0.3859,0.5806,0.015
0.035,0.065,0.01,0.2943,0.5717,0.015
0.04000000000000001,0.065,0.01,0.2262,0.5634,0.015
0.045000000000000005,0.065,0.01,0.1723,0.556,0.015
0.05,0.065,0.01,0.1312,0.5497,0.015
0.05500000000000001,0.065,0.01,0.1012,0.5432,0.015
0.06000000000000001,0.065,0.01,0.0779,0.5373,0.015
0.065,0.065,0.01,0.0612,0.5319,0.015
0.07,0.065,0.01,0.0452,0.5246,0.015
0.07500000000000001,0.065,0.01,0.0344,0.5204,0.015
0.08000000000000002,0.065,0.01,0.0263,0.5141,0.015
0.02,0.065,0.015,0.5457,0.5999,0.015
0.025,0.065,0.015,0.4819,0.5896,0.015
0.030000000000000002,0.065,0.015,0.3859,0.5806,0.015
0.035,0.065,0.015,0.2943,0.5717,0.015
0.04000000000000001,0.065,0.015,0.2262,0.5634,0.015
0.045000000000000005,0.065,0.015,0.1723,0.556,0.015
0.05,0.065,0.015,0.1312,0.5497,0.015
0.05500000000000001,0.065,0.015,0.1012,0.5432,0.015
0.06000000000000001,0.065,0.015,0.0779,0.5373,0.015
0.065,0.065,0.015,0.0612,0.5319,0.015
0.07,0.065,0.015,0.0452,0.5246,0.015
0.07500000000000001,0.065,0.015,0.0344,0.5204,0.015
0.08000000000000002,0.065,0.015,0.0263,0.5141,0.015
0.02,0.065,0.02,0.4331,0.4771,0.015
0.025,0.065,0.02,0.383,0.4681,0.015
0.030000000000000002,0.065,0.02,0.3076,0.4611,0.015
0.035,0.065,0.02,0.2342,0.4534,0.015
0.04000000000000001,0.065,0.02,0.1783,0.4468,0.015
0.045000000000000005,0.065,0.02,0.1361,0.4405,0.015
0.05,0.065,0.02,0.1044,0.4361,0.015
0.05500000000000001,0.065,0.02,0.0809,0.4311,0.015
0.06000000000000001,0.065,0.02,0.0629,0.426,0.015
0.065,0.065,0.02,0.0491,0.4217,0.015
0.07,0.065,0.02,0.0359,0.4166,0.015
