rep,central_trapped_b,central_share_pct,null_trapped_b,null_share_pct,marginal_b,marginal_pp
84,818.5757404498142,107.03858910435969,748.3157819225837,97.85125742610474,70.25995852723054,9.18733167825495
85,818.5509814123169,107.03535156345745,748.1470664344635,97.82919585389332,70.40391497785345,9.206155709564129
86,818.4966992897586,107.02825352533449,747.9767300932576,97.80692233571423,70.51996919650094,9.221331189620258
87,818.5896866597033,107.04041273845499,748.0480618329597,97.81624981562693,70.5416248267436,9.224162922828057
88,818.4577547633863,107.02316106174166,748.1661858673432,97.83169594889833,70.29156889604315,9.191465112843332
89,818.3312390558034,107.006617616621,748.0079776446056,97.81100832757055,70.32326141119779,9.195609289050452
90,818.5636247441319,107.03700483062892,748.1668030770873,97.83177665646994,70.3968216670446,9.205228174158975
91,818.4028983280454,107.01598792533895,748.1973351408427,97.83576908974806,70.20556318720264,9.180218835590892
92,818.7735486855556,107.06445490201372,748.6126237099922,97.89007304760602,70.16092497556338,9.174381854407699
93,818.3406896061392,107.00785338934699,748.0393829134705,97.81511494288252,70.30130669266873,9.192738446464475
94,818.6729475945572,107.0513001036112,748.4256945414047,97.8656298183734,70.24725305315246,9.18567028523779
95,818.9733972451558,107.09058749646661,748.550126742662,97.8819008200701,70.42327050249378,9.20868667639651
96,818.1938393945541,106.98865096410886,747.8593322765672,97.7915711641103,70.33450711798685,9.197079799998562
97,818.7754189200493,107.06469945758947,748.4219026215512,97.8651339794045,70.3535162984981,9.199565478184965
